features,predicted_happiness_score
"[0.212, 0.945, 0.263, 0.006, 0.845, 0.044944, 0.20034, 0.055756, 0.001272, 0.17914, 0.893025, 0.248535, 0.00567, 0.7985249999999999, 0.06916900000000001, 0.0015780000000000002, 0.22223500000000002, 3.6e-05, 0.00507, 0.7140249999999999]",5.218675211858447
"[0.36679, 1.13764, 0.00199, 0.03005, 0.66926, 0.1345349041, 0.4172749756, 0.0007299121, 0.0110220395, 0.2454778754, 1.2942247696, 0.0022639036, 0.034186082, 0.7613769464, 3.9601e-06, 5.97995e-05, 0.0013318274, 0.0009030025, 0.020111263, 0.44790894759999994]",5.425615712943268
"[0.581843852996826, 0.368745893239975, 0.252756029367447, 0.455220013856888, 0.326424807310104, 0.338542269270192, 0.21455253129950327, 0.14706454199533425, 0.2648669668237602, 0.18992826759905737, 0.13597353378134702, 0.0932027478208886, 0.16786051063037194, 0.12036780714725101, 0.06388561038159773, 0.11505960319106122, 0.08250583818273588, 0.20722526101586528, 0.14859510530693754, 0.10655315482743852]",4.236358809485957
"[0.435, 0.694, 0.2, 0.127, 0.835, 0.189225, 0.30189, 0.08700000000000001, 0.055245, 0.36322499999999996, 0.48163599999999995, 0.1388, 0.088138, 0.57949, 0.04000000000000001, 0.025400000000000002, 0.167, 0.016129, 0.106045, 0.697225]",5.619484396431701
"[0.346, 0.886, 0.043, 0.164, 0.752, 0.11971599999999999, 0.306556, 0.014877999999999997, 0.056743999999999996, 0.260192, 0.784996, 0.038098, 0.14530400000000002, 0.666272, 0.0018489999999999997, 0.007052, 0.032336, 0.026896000000000003, 0.12332800000000001, 0.565504]",5.093883417785067
"[0.531, 0.186, 0.21, 0.08, 0.306, 0.281961, 0.098766, 0.11151, 0.042480000000000004, 0.162486, 0.034596, 0.03906, 0.01488, 0.056916, 0.04409999999999999, 0.0168, 0.06426, 0.0064, 0.024480000000000002, 0.093636]",3.754919248954827
"[0.25646, 0.84058, 0.04053, 0.08404, 0.59471, 0.06577173160000001, 0.2155751468, 0.0103943238, 0.021552898400000003, 0.1525193266, 0.7065747364, 0.034068707399999995, 0.0706423432, 0.49990133179999996, 0.0016426808999999998, 0.0034061411999999998, 0.024103596299999995, 0.0070627216, 0.0499794284, 0.35367998409999996]",4.773270709123427
"[0.447706192731857, 0.603048920631409, 0.201237469911575, 0.130061775445938, 0.0486421696841717, 0.2004408350104547, 0.269988736286944, 0.09009526148910288, 0.05822946230484663, 0.021777400595517468, 0.36366800067470745, 0.12135603902077097, 0.0784336132980776, 0.029333607925209587, 0.040496519296412056, 0.026173302622947973, 0.009788627158252228, 0.016916065432149602, 0.006326486950665952, 0.0023660606715837523]",4.497373061652006
"[0.3337, 0.31995, 0.24353, 0.12533, 0.21297, 0.11135569, 0.106767315, 0.081265961, 0.041822621, 0.071068089, 0.10236800250000001, 0.0779174235, 0.0400993335, 0.0681397515, 0.0593068609, 0.030521614899999997, 0.0518645841, 0.0157076089, 0.0266915301, 0.045356220899999994]",3.9460437594237003
"[0.256450712680817, 1.39506661891937, 0.17278964817524, 0.0280280914157629, 0.853144347667694, 0.06576696803449894, 0.3577658286590901, 0.04431202841840793, 0.007187824018655485, 0.21878947597899082, 1.9462108712231225, 0.24105307026409956, 0.039101054726151364, 1.1901932005509412, 0.02985626251652322, 0.004842964054753136, 0.1474145116761955, 0.000785573908410362, 0.023912007767271534, 0.7278552779573351]",5.99885707089979
"[0.445, 1.327, 0.069, 0.14, 1.088, 0.198025, 0.590515, 0.030705000000000003, 0.06230000000000001, 0.48416000000000003, 1.760929, 0.091563, 0.18578, 1.443776, 0.0047610000000000005, 0.009660000000000002, 0.07507200000000001, 0.019600000000000003, 0.15232000000000004, 1.1837440000000001]",6.1300349752363585
"[0.6598, 1.33171, 0.36262, 0.43844, 0.91087, 0.4353360400000001, 0.8786622580000001, 0.23925667600000003, 0.289282712, 0.600992026, 1.7734515241, 0.4829046802, 0.5838749324, 1.2130146876999999, 0.1314932644, 0.1589871128, 0.3302996794, 0.1922296336, 0.3993618428, 0.8296841569]",7.121247840925817
